id,categoria,servicio,descripcion,requisitos,modalidad,horario,contacto,enlace,palabras_clave
18,Idiomas,Preparación para examen internacional,"Programa de preparación con simulacros y retroalimentación para certificaciones de inglés.","Nivel intermedio como mínimo y pago de la tarifa del programa.",Híbrida,"Sábados de 09:00 a 13:00",idiomas@campusconecta.edu,https://campusconecta.edu/certificacion,"inglés examen certificación simulacro internacional"
19,Inclusión,Ajustes académicos razonables,"Coordinación de apoyos para estudiantes con discapacidad o necesidades educativas acreditadas.","Presentar solicitud y documentación de respaldo para evaluación individual.",Híbrida,"Lunes a viernes de 09:00 a 18:00",inclusion@campusconecta.edu,https://campusconecta.edu/inclusion,"inclusión discapacidad accesibilidad ajustes apoyo"
20,Inclusión,Materiales accesibles,"Conversión coordinada de materiales a formatos accesibles según la necesidad evaluada.","Tener un plan de ajustes aprobado y solicitarlo con anticipación.",Virtual,"Lunes a viernes de 09:00 a 18:00",inclusion@campusconecta.edu,https://campusconecta.edu/materiales,"accesible formato lectura inclusión materiales"
21,Trámites,Constancia de estudios,"Emisión digital de constancia con datos de matrícula y periodo académico.","No tener bloqueo administrativo y realizar el pago correspondiente cuando aplique.",Virtual,"Entrega estimada en dos días hábiles",tramites@campusconecta.edu,https://campusconecta.edu/constancia,"constancia estudios documento trámite matrícula"
22,Trámites,Reserva de matrícula,"Solicitud para conservar la condición académica durante un periodo sin cursar asignaturas.","Presentar la solicitud antes del cierre del periodo de matrícula.",Virtual,"Según calendario académico",tramites@campusconecta.edu,https://campusconecta.edu/reserva,"reserva matrícula pausa ciclo trámite"
23,Trámites,Rectificación de nota,"Procedimiento para solicitar revisión cuando existe un posible error de registro de calificación.","Presentar evidencia y solicitud dentro del plazo publicado.",Virtual,"Hasta cinco días hábiles después de publicada la nota",tramites@campusconecta.edu,https://campusconecta.edu/rectificacion,"nota calificación error revisión reclamo"
24,Emprendimiento,Incubadora de proyectos,"Acompañamiento para validar problemas, diseñar propuestas de valor y preparar prototipos.","Postular con una idea o proyecto y participar en la entrevista de selección.",Híbrida,"Convocatorias en marzo y agosto",emprende@campusconecta.edu,https://campusconecta.edu/incubadora,"emprendimiento startup proyecto prototipo negocio"
25,Emprendimiento,Mentorías para negocios,"Sesiones con especialistas en marketing, finanzas, tecnología y ventas.","Tener un proyecto activo y definir el reto que se desea trabajar.",Virtual,"Viernes de 15:00 a 19:00",emprende@campusconecta.edu,https://campusconecta.edu/mentorias,"negocio mentoría marketing finanzas ventas"
26,Deportes,Gimnasio universitario,"Uso de instalaciones deportivas y rutinas generales supervisadas por personal autorizado.","Matrícula vigente, registro de ingreso y cumplimiento del reglamento.",Presencial,"Lunes a sábado de 07:00 a 21:00",deportes@campusconecta.edu,https://campusconecta.edu/gimnasio,"gimnasio deporte actividad física instalaciones"
27,Deportes,Talleres deportivos,"Entrenamientos recreativos de vóley, fútbol, básquet y atletismo.","Inscripción y evaluación básica según la disciplina.",Presencial,"Horarios variables por disciplina",deportes@campusconecta.edu,https://campusconecta.edu/talleres-deportivos,"vóley fútbol básquet atletismo deporte taller"
28,Cultura,Taller de oratoria,"Programa práctico para fortalecer comunicación, estructura del discurso y presencia escénica.","Inscripción previa y asistencia mínima del 80 por ciento.",Presencial,"Martes de 18:00 a 20:00",cultura@campusconecta.edu,https://campusconecta.edu/oratoria,"oratoria comunicación discurso exposición hablar público"
29,Cultura,Voluntariado universitario,"Proyectos de participación social en educación, ambiente y ciudadanía.","Completar inducción y comprometerse con el cronograma del proyecto elegido.",Híbrida,"Convocatorias al inicio de cada ciclo",voluntariado@campusconecta.edu,https://campusconecta.edu/voluntariado,"voluntariado social comunidad ambiente ciudadanía"
30,Movilidad,Intercambio académico,"Orientación y postulación para cursar un periodo en una institución aliada nacional o internacional.","Haber aprobado al menos 40 créditos, promedio mínimo de 14 y no tener sanciones.",Híbrida,"Convocatorias en abril y septiembre",movilidad@campusconecta.edu,https://campusconecta.edu/intercambio,"intercambio viaje universidad créditos internacional"
